tweet_id,date,user_id,followers,place,lat,lng,text,source,hashtags,urls,retweet_id
590876710603780096,Wed Apr 22 13:56:00 +0000 2015,16591199,476,"Queens, NY",40.656133,-73.739636,"@rthosefeelings I only date single moms. When I get bored, I can always pick on their kid. Beat their little ass in Madden &amp; MKX.",Twitter for iPhone,[],[],
590876720514916352,Wed Apr 22 13:56:02 +0000 2015,10919102,13160,"Brooklyn, NY",40.6975,-73.9796,"[Full-time] Business Development Lead - Helping Good People Do Good — Minds On Design Lab: http://t.co/tlDl8PlEzi (NYC area, DC, Boston)",Authentic Jobs,[],['http://authjo.bz/j/24051'],
590876726781157376,Wed Apr 22 13:56:04 +0000 2015,82267995,617,"Manhattan, NY",40.761468,-73.974285,Spent the morning in #Paris with the newest houseoflubin scent: Grisette. Smells like roses and… https://t.co/PYegcKh00O,Instagram,"[{u'indices': [21, 27], u'text': u'Paris'}]",['https://instagram.com/p/1x5fWzNrTb/'],
590876763661717504,Wed Apr 22 13:56:13 +0000 2015,217971260,339,"Bronx, NY",40.911599,-73.90726,Beautiful today,Twitter for iPhone,[],[],
590876769709924352,Wed Apr 22 13:56:14 +0000 2015,16734566,6330,"Manhattan, NY",40.774052,-73.988887,"#EarthDay If A PUPPY LEARNS not to poop where she eats, SO CAN WE. There's work to do! #Puppy… https://t.co/p9fLKLWRlG",Instagram,"[{u'indices': [0, 9], u'text': u'EarthDay'}, {u'indices': [87, 93], u'text': u'Puppy'}]",['https://instagram.com/p/1x5gm1Qawj/'],
590876786927480832,Wed Apr 22 13:56:18 +0000 2015,22623967,2291,"Queens, NY",40.77074,-73.861378,"This @Delta pilot clearly has something to say about his (IMO, archaic) view on guns. Flying to Bristol, TN...shouldn't be shocked. #merica",Twitter for iPhone,"[{u'indices': [132, 139], u'text': u'merica'}]",[],
590876794326278145,Wed Apr 22 13:56:20 +0000 2015,2996504496,98,"Queens, NY",40.684486,-73.831669,Heading to work listening to my fiance tracks always seem to put me in a good mood.....,Twitter for Android,[],[],
590876812269510656,Wed Apr 22 13:56:24 +0000 2015,365817651,188,"New York, USA",42.66268,-73.783196,Fully should have used google maps to get out of the apartment ¿¿¿¿,Twitter for iPhone,[],[],
590876824596545537,Wed Apr 22 13:56:27 +0000 2015,23957179,1020,"Manhattan, NY",40.812315,-73.934986,"like word? Can you do ""cherry picker?"" My dumb ass ""HELL YEAH I CAN DO A CHERRY PICKER"" I aint executed a Cherry Picker since I was 15.",Twitter for iPhone,[],[],
590876827494830080,Wed Apr 22 13:56:28 +0000 2015,2811977427,2323,"Queens, NY",40.735984,-73.818754,"""who is walker flocker"" - my teacher http://t.co/iuIErkdMpo",Twitter for iPhone,[],[],
